event,league,date,fighter_1,fighter_2,winner,f1_age,f2_age,f1_style_dominant,f1_style_additional,f2_style_dominant,f2_style_additional,f1_weight,f2_weight,weight_advantage,f1_height,f2_height,height_advantage,f1_country,f2_country,f1_travel_penalty,f2_travel_penalty,domestic_advantage,travel_type,label,f1_style_combo_success_percent,f2_style_combo_success_percent,athlete1_style_advantage_rate,f1_gender,f2_gender,f1_is_current_title_holder,f2_is_current_title_holder,f1_low_rank_predictions,f1_high_rank_predictions,f2_low_rank_predictions,f2_high_rank_predictions,f1_domestic_win_rate,f1_transatlantic_win_rate,f2_domestic_win_rate,f2_transatlantic_win_rate,num_shared_opponents_value,mma_math_positive,mma_math_negative,has_head_to_head,head_to_head_result,num_second_order_valuable,second_order_mma_math_positive,second_order_mma_math_negative
East vs West 14,EvW,"August 10, 2024",Michael Todd,Kamil Jablonski,Michael Todd,51,39,King's Move,Side,Press,,105.0,128.0,-23.0,191.0,189.0,2.0,United States Of America,Poland,0,0,0,domestic,1,45.5,,100.0,male,male,False,False,5,0,3,0,0.5,0.0,0.429,0.5,0,0,0,0,0,1,0,1
East vs West 14,EvW,"August 10, 2024",Rustam Babayev,Paul Linn,Rustam Babayev,43,44,Hook,,Side,Hook,95.0,95.0,0.0,172.0,183.0,-11.0,Ukraine,United States Of America,0,0,0,domestic,1,,47.4,32.1,male,male,False,False,2,0,2,0,0.4,0.5,0.636,0.5,0,0,0,1,-1,1,1,0
East vs West 14,EvW,"August 10, 2024",Todd Hutchings,Evgeny Prudnik,Todd Hutchings,58,37,Side,Press,Hook,Toproll,98.0,115.0,-17.0,180.0,185.0,-5.0,United States Of America,Ukraine,0,0,0,domestic,1,58.3,39.7,67.9,male,male,False,False,5,0,2,1,0.75,0.5,0.5,0.5,2,1,1,1,-1,9,4,5
East vs West 14,EvW,"August 10, 2024",John Brzenk,Leonidas Arkona,John Brzenk,60,26,Hook,Toproll,Toproll,Hook,104.0,128.0,-24.0,181.0,182.0,-1.0,United States Of America,Germany,0,0,0,domestic,1,39.7,53.4,40.4,male,male,False,False,7,2,2,0,0.4,0.0,0.667,0.0,0,0,0,0,0,0,0,0
East vs West 14,EvW,"August 10, 2024",Jerry Cadorette,Alex Kurdecha,Jerry Cadorette,52,36,Press,,Toproll,Press,147.0,150.0,-3.0,187.0,201.0,-14.0,United States Of America,Poland,0,0,0,domestic,1,,58.5,54.5,male,male,False,False,5,0,5,1,0.6,0.5,0.286,0.0,0,0,0,0,0,9,6,3
East vs West 13,EvW,"July 6, 2024",Tom Rozits,Artem Taranenko,Tom Rozits,32,30,Hook,Toproll,Toproll,Hook,85.0,100.0,-15.0,184.0,182.0,2.0,Latvia,United States Of America,0,0,0,domestic,1,39.7,53.4,40.4,male,male,False,False,5,0,1,0,1.0,0.5,0.0,0.5,0,0,0,0,0,0,0,0
East vs West 13,EvW,"July 6, 2024",Carolina Pettersson,Olga Terpelova,Carolina Pettersson,34,33,Toproll,Hook,Toproll,,60.0,58.0,2.0,166.0,168.0,-2.0,Sweden,Russia,0,0,0,domestic,1,53.4,,,male,male,False,False,2,0,2,0,0.667,0.5,0.0,0.5,0,0,0,0,0,0,0,0
East vs West 13,EvW,"July 6, 2024",Petro Marharint,Zurab Tavberidze,Petro Marharint,36,28,Hook,Side,Hook,Side,105.0,105.0,0.0,180.0,180.0,0.0,Ukraine,Georgia,0,0,0,domestic,1,44.2,44.2,,male,male,False,False,7,0,1,0,1.0,0.5,0.455,1.0,0,0,0,0,0,0,0,0
East vs West 13,EvW,"July 6, 2024",Vladimir Maiorov,Adam Wawrzynski,Vladimir Maiorov,31,28,Hook,,Toproll,Hook,85.0,93.0,-8.0,179.0,183.0,-4.0,Russia,United States Of America,0,0,0,domestic,1,,53.4,40.4,male,male,False,False,7,0,0,0,0.333,0.5,0.5,0.5,0,0,0,0,0,0,0,0
East vs West 13,EvW,"July 6, 2024",Ibragim Sagov,Chance Shaw,Ibragim Sagov,35,26,Press,Side,Hook,Toproll,115.0,130.0,-15.0,192.0,183.0,9.0,Russia,United States Of America,0,0,0,domestic,1,50.0,39.7,83.3,male,male,False,False,2,0,1,0,0.6,0.5,0.167,0.0,1,1,0,0,0,0,0,0
East vs West 13,EvW,"July 6, 2024",Dimitrina Petrova,Ayane Takenaka,Dimitrina Petrova,30,25,Hook,Toproll,Toproll,Hook,60.0,58.0,2.0,165.0,156.0,9.0,Bulgaria,Japan,0,0,0,domestic,1,39.7,53.4,40.4,female,female,False,False,6,1,0,0,1.0,0.5,0.0,0.5,0,0,0,0,0,0,0,0
East vs West 13,EvW,"July 6, 2024",Betkili Oniani,Artem Taynov,Betkili Oniani,28,36,Hook,Press,Toproll,Press,95.0,95.0,0.0,190.0,181.0,9.0,Georgia,Russia,0,0,0,domestic,1,37.2,58.5,40.4,male,male,False,True,4,0,3,0,0.6,0.5,0.667,0.5,0,0,0,0,0,0,0,0
East vs West 13,EvW,"July 6, 2024",Barbora Bajciova,Egle Vaitkute,Barbora Bajciova,25,40,Toproll,Hook,Toproll,Hook,122.0,80.0,42.0,188.0,180.0,8.0,Slovakia,Lithuania,0,0,0,domestic,1,53.4,53.4,,female,female,False,False,4,1,3,0,1.0,1.0,0.5,0.333,1,1,0,0,0,0,0,0
East vs West 13,EvW,"July 6, 2024",Daniel Procopciuc,Bozhidar Simeonov,Daniel Procopciuc,24,27,Hook,Toproll,Toproll,Side,78.0,85.0,-7.0,171.0,175.0,-4.0,Moldova,Bulgaria,0,0,0,domestic,1,39.7,53.3,40.4,male,male,False,False,3,0,1,0,0.5,0.5,0.4,0.5,0,0,0,0,0,0,0,0
East vs West 13,EvW,"July 6, 2024",Todd Hutchings,Krasimir Kostadinov,Todd Hutchings,58,37,Side,Press,Hook,Side,98.0,104.0,-6.0,180.0,180.0,0.0,United States Of America,Bulgaria,0,0,0,domestic,1,58.3,44.2,67.9,male,male,False,False,5,1,3,0,0.75,0.5,0.5,0.5,1,1,0,0,0,10,8,2
East vs West 13,EvW,"July 6, 2024",Irakli Zirakashvili,Evgeny Prudnik,Irakli Zirakashvili,27,37,Toproll,Press,Hook,Toproll,95.0,115.0,-20.0,190.0,185.0,5.0,Georgia,Ukraine,0,0,0,domestic,1,58.5,39.7,59.6,male,male,False,False,6,0,6,2,0.667,0.5,0.5,0.5,2,0,2,0,0,7,2,5
East vs West 13,EvW,"July 6, 2024",Serhii Kalinichenko,Travis Bagent,Serhii Kalinichenko,32,49,Toproll,Press,Toproll,Side,118.0,125.0,-7.0,187.0,191.0,-4.0,Ukraine,United States Of America,0,0,0,domestic,1,58.5,53.3,,male,male,False,False,8,0,3,1,0.571,0.5,0.0,0.5,0,0,0,0,0,0,0,0
East vs West 13,EvW,"July 6, 2024",Oleg Petrenko,David Dadikyan,Oleg Petrenko,29,26,Side,Toproll,Hook,,104.0,115.0,-11.0,180.0,185.0,-5.0,Ukraine,Armenia,0,0,0,domestic,1,69.2,,67.9,male,male,True,False,3,0,4,0,0.714,0.5,0.75,0.5,0,0,0,0,0,10,3,7
East vs West 13,EvW,"July 6, 2024",Davit Samushia,Sasho Andreev,Davit Samushia,33,28,Press,Hook,Hook,,85.0,88.0,-3.0,178.0,169.0,9.0,Georgia,Bulgaria,0,0,0,domestic,1,82.4,,83.3,male,male,True,False,5,2,7,1,0.833,0.5,0.4,0.5,1,0,1,0,0,0,0,0
East vs West 13,EvW,"July 6, 2024",Vitaly Laletin,Artyom Morozov,Vitaly Laletin,35,27,Toproll,,Toproll,Hook,140.0,142.0,-2.0,205.0,195.0,10.0,Russia,Kazakhstan,0,0,0,domestic,1,,53.4,,male,male,False,False,11,4,8,0,0.875,0.5,0.733,1.0,0,0,0,0,0,5,3,2
East vs West 12,EvW,"April 20, 2024",Stoyan Golemanov,Brandon Ellsessor,Stoyan Golemanov,,34,Toproll,Hook,Hook,Toproll,,85.0,,,182.0,,Bulgaria,United States Of America,0,0,0,domestic,1,53.4,39.7,59.6,male,male,False,False,5,2,0,0,1.0,0.5,0.0,0.5,0,0,0,0,0,0,0,0
East vs West 12,EvW,"April 20, 2024",Betkili Oniani,Talgat Aktaev,Betkili Oniani,28,,Hook,Press,Hook,Side,95.0,,,190.0,,,Georgia,Kazakhstan,0,0,0,domestic,1,37.2,44.2,,male,male,False,False,4,1,6,1,0.6,0.5,0.0,0.5,0,0,0,0,0,0,0,0
East vs West 12,EvW,"April 20, 2024",Petro Marharint,Nugzari Chikadze,Petro Marharint,36,27,Hook,Side,Side,Toproll,105.0,105.0,0.0,180.0,173.0,7.0,Ukraine,Georgia,0,0,0,domestic,1,44.2,69.2,32.1,male,male,False,False,9,1,3,0,1.0,0.5,0.667,1.0,0,0,0,0,0,0,0,0
East vs West 12,EvW,"April 20, 2024",Ibragim Sagov,Sandris Sedis,Ibragim Sagov,35,31,Press,Side,Toproll,Hook,115.0,114.0,1.0,192.0,194.0,-2.0,Russia,Latvia,0,0,0,domestic,1,50.0,53.4,54.5,male,male,False,False,7,0,4,0,0.6,0.5,0.6,1.0,0,0,0,0,0,1,1,0
East vs West 12,EvW,"April 20, 2024",Fia Reisek,Ekaterina Nikisheva,Fia Reisek,40,,Unknown,,Toproll,Hook,69.0,,,170.0,,,Sweden,Russia,0,0,0,domestic,1,,53.4,,male,male,False,False,7,2,3,0,1.0,1.0,0.0,0.5,0,0,0,0,0,0,0,0
East vs West 12,EvW,"April 20, 2024",Artur Makarov,Mindaugas Tarasaitis,Artur Makarov,31,34,Hook,Toproll,Toproll,Side,77.0,76.0,1.0,174.0,178.0,-4.0,Russia,Lithuania,0,0,0,domestic,1,39.7,53.3,40.4,male,male,False,False,6,2,6,1,0.75,0.5,0.778,0.5,0,0,0,0,0,0,0,0
East vs West 12,EvW,"April 20, 2024",Kamil Jablonski,Tobias Sporrong,Kamil Jablonski,39,27,Press,,Side,Hook,128.0,130.0,-2.0,189.0,193.0,-4.0,Poland,Sweden,0,0,0,domestic,1,,47.4,50.0,male,male,False,False,5,1,3,1,0.429,0.5,0.4,0.0,0,0,0,0,0,0,0,0
East vs West 12,EvW,"April 20, 2024",Leonidas Arkona,Aleksandr Beziazykov,Leonidas Arkona,26,24,Toproll,Hook,Toproll,Hook,128.0,116.0,12.0,182.0,195.0,-13.0,Germany,Russia,0,0,0,domestic,1,53.4,53.4,,male,male,False,False,2,0,6,1,0.667,0.0,0.6,0.5,0,0,0,0,0,0,0,0
East vs West 12,EvW,"April 20, 2024",Michael Todd,Frank Lamparelli,Michael Todd,51,46,King's Move,Side,Unknown,,105.0,115.0,-10.0,191.0,191.0,0.0,United States Of America,Italy,0,0,0,domestic,1,45.5,,,male,male,False,False,7,1,2,0,0.5,0.0,0.0,1.0,0,0,0,0,0,2,2,0
East vs West 12,EvW,"April 20, 2024",Davit Samushia,Nurdalet Aidarkhan,Davit Samushia,33,27,Press,Hook,Toproll,Hook,85.0,75.0,10.0,178.0,175.0,3.0,Georgia,Kazakhstan,0,0,0,domestic,1,82.4,53.4,54.5,male,male,True,False,4,2,5,0,0.833,0.5,0.667,0.5,0,0,0,0,0,0,0,0
East vs West 12,EvW,"April 20, 2024",Irakli Zirakashvili,Sasho Andreev,Irakli Zirakashvili,27,28,Toproll,Press,Hook,,95.0,88.0,7.0,190.0,169.0,21.0,Georgia,Bulgaria,0,0,0,domestic,1,58.5,,59.6,male,male,False,False,5,1,2,0,0.667,0.5,0.4,0.5,0,0,0,0,0,3,1,2
East vs West 12,EvW,"April 20, 2024",Alex Kurdecha,Georgi Tsvetkov,Alex Kurdecha,36,36,Toproll,Press,Toproll,Side,150.0,165.0,-15.0,201.0,190.0,11.0,Poland,Bulgaria,0,0,0,domestic,1,58.5,53.3,,male,male,False,False,3,1,6,1,0.286,0.0,0.5,0.5,1,0,1,0,0,6,1,5
East vs West 12,EvW,"April 20, 2024",Alizhan Muratov,Ermes Gasparini,Alizhan Muratov,27,31,Toproll,Hook,Toproll,Press,104.0,130.0,-26.0,180.0,188.0,-8.0,Kazakhstan,Italy,0,0,0,domestic,1,53.4,58.5,,male,male,False,False,10,2,5,0,1.0,0.5,0.6,0.667,0,0,0,0,0,0,0,0
East vs West 12,EvW,"April 20, 2024",Levan Saginashvili,Devon Larratt,Levan Saginashvili,36,50,Toproll,Press,Toproll,King's Move,178.0,120.0,58.0,193.0,196.0,-3.0,Georgia,Canada,0,1,1,transatlantic,1,58.5,80.0,,male,male,True,False,17,3,5,0,1.0,1.0,0.5,0.8,0,0,0,1,1,4,3,1
East vs West 11,EvW,"January 20, 2024",Aymeric Pradines,Robbie Topie,Aymeric Pradines,,46,Toproll,Hook,Toproll,Hook,,114.0,,,185.0,,France,United States Of America,0,0,0,domestic,1,53.4,53.4,,male,male,False,False,5,0,0,0,1.0,0.5,0.0,0.5,0,0,0,0,0,0,0,0
East vs West 11,EvW,"January 20, 2024",Nurdalet Aidarkhan,Vala Ichqiti,Nurdalet Aidarkhan,27,,Toproll,Hook,Side,Hook,75.0,,,175.0,,,Kazakhstan,Georgia,0,0,0,domestic,1,53.4,47.4,57.1,male,male,False,False,3,1,7,0,0.667,0.5,0.0,0.5,0,0,0,0,0,0,0,0
East vs West 11,EvW,"January 20, 2024",Oleg Petrenko,Marcio Barboza,Oleg Petrenko,29,52,Side,Toproll,Toproll,Hook,104.0,111.0,-7.0,180.0,183.0,-3.0,Ukraine,Brazil,0,1,1,transatlantic,1,69.2,53.4,42.9,male,male,False,False,8,1,3,0,0.714,0.5,0.0,0.5,0,0,0,0,0,1,0,1
East vs West 11,EvW,"January 20, 2024",Oleg Zhokh,Avtandil Tutberidze,Oleg Zhokh,32,27,Toproll,Hook,Toproll,,85.0,80.0,5.0,183.0,178.0,5.0,Ukraine,Georgia,0,0,0,domestic,1,53.4,,,male,male,False,False,9,3,0,0,0.6,0.5,0.0,0.5,0,0,0,0,0,0,0,0
East vs West 11,EvW,"January 20, 2024",Mindaugas Tarasaitis,Daniel Procopciuc,Mindaugas Tarasaitis,34,24,Toproll,Side,Hook,Toproll,76.0,78.0,-2.0,178.0,171.0,7.0,Lithuania,Moldova,0,0,0,domestic,1,53.3,39.7,59.6,male,male,False,False,1,0,8,2,0.778,0.5,0.5,0.5,0,0,0,0,0,0,0,0
East vs West 11,EvW,"January 20, 2024",Artem Taynov,Zurab Tavberidze,Artem Taynov,36,28,Toproll,Press,Hook,Side,95.0,105.0,-10.0,181.0,180.0,1.0,Russia,Georgia,0,0,0,domestic,1,58.5,44.2,59.6,male,male,False,False,10,2,4,1,0.667,0.5,0.455,1.0,0,0,0,0,0,0,0,0
East vs West 11,EvW,"January 20, 2024",Irakli Zirakashvili,Paul Linn,Irakli Zirakashvili,27,44,Toproll,Press,Side,Hook,95.0,95.0,0.0,190.0,183.0,7.0,Georgia,United States Of America,0,0,0,domestic,1,58.5,47.4,57.1,male,male,False,False,11,3,2,0,0.667,0.5,0.636,0.5,0,0,0,0,0,0,0,0
East vs West 11,EvW,"January 20, 2024",Matt Mask,Wagner Bortolato,Matt Mask,43,44,Toproll,Hook,Hook,Press,114.0,151.0,-37.0,196.0,188.0,8.0,Canada,Brazil,1,1,0,domestic,1,53.4,37.2,59.6,male,male,False,False,9,1,4,0,1.0,0.455,0.0,0.333,0,0,0,0,0,4,3,1
East vs West 11,EvW,"January 20, 2024",Davit Samushia,Vladimir Maiorov,Davit Samushia,33,31,Press,Hook,Hook,,85.0,85.0,0.0,178.0,179.0,-1.0,Georgia,Russia,0,0,0,domestic,1,82.4,,83.3,male,male,False,False,10,1,1,0,0.833,0.5,0.333,0.5,0,0,0,0,0,0,0,0
East vs West 11,EvW,"January 20, 2024",Ivan Matyushenko,Rino Masic,Ivan Matyushenko,40,21,Hook,,Press,Hook,114.0,115.0,-1.0,192.0,187.0,5.0,Russia,Croatia,0,0,0,domestic,1,,82.4,16.7,male,male,False,False,13,2,0,0,0.667,0.5,0.75,0.5,0,0,0,0,0,0,0,0
East vs West 11,EvW,"January 20, 2024",Krasimir Kostadinov,John Brzenk,Krasimir Kostadinov,37,60,Hook,Side,Hook,Toproll,104.0,104.0,0.0,180.0,181.0,-1.0,Bulgaria,United States Of America,0,0,0,domestic,1,44.2,39.7,,male,male,False,False,2,2,9,0,0.5,0.5,0.4,0.0,0,0,0,0,0,3,0,3
East vs West 11,EvW,"January 20, 2024",Alizhan Muratov,Evgeny Prudnik,Alizhan Muratov,27,37,Toproll,Hook,Hook,Toproll,104.0,115.0,-11.0,180.0,185.0,-5.0,Kazakhstan,Ukraine,0,0,0,domestic,1,53.4,39.7,59.6,male,male,False,False,4,1,7,2,1.0,0.5,0.5,0.5,0,0,0,0,0,0,0,0
East vs West 11,EvW,"January 20, 2024",David Dadikyan,Todd Hutchings,David Dadikyan,26,58,Hook,,Side,Press,115.0,98.0,17.0,185.0,180.0,5.0,Armenia,United States Of America,0,0,0,domestic,1,,58.3,32.1,male,male,False,False,2,2,13,1,0.75,0.5,0.75,0.5,0,0,0,0,0,2,2,0
East vs West 11,EvW,"January 20, 2024",Artyom Morozov,Alex Kurdecha,Artyom Morozov,27,36,Toproll,Hook,Toproll,Press,142.0,150.0,-8.0,195.0,201.0,-6.0,Kazakhstan,Poland,0,0,0,domestic,1,53.4,58.5,,male,male,True,False,9,2,4,0,0.733,1.0,0.286,0.0,0,0,0,0,0,0,0,0
East vs West X,EvW,"November 11, 2023",Fia Reisek,Rosa Acosta (Boltadano),Fia Reisek,40,42,Unknown,,Toproll,Side,69.0,64.0,5.0,170.0,168.0,2.0,Sweden,Dominican Republic,0,1,1,transatlantic,1,,53.3,,male,male,False,False,1,0,0,0,1.0,1.0,0.5,0.0,0,0,0,0,0,0,0,0
East vs West X,EvW,"November 11, 2023",Frank Lamparelli,Matt Mask,Frank Lamparelli,46,43,Unknown,,Toproll,Hook,115.0,114.0,1.0,191.0,196.0,-5.0,Italy,Canada,0,1,1,transatlantic,1,,53.4,,male,male,False,False,1,0,5,0,0.0,1.0,1.0,0.455,0,0,0,0,0,0,0,0
East vs West X,EvW,"November 11, 2023",Artem Taynov,Sasho Andreev,Artem Taynov,36,28,Toproll,Press,Hook,,95.0,88.0,7.0,181.0,169.0,12.0,Russia,Bulgaria,0,0,0,domestic,1,58.5,,59.6,male,male,False,False,3,0,4,0,0.667,0.5,0.4,0.5,0,0,0,0,0,0,0,0
East vs West X,EvW,"November 11, 2023",Ivan Matyushenko,Kamil Jablonski,Ivan Matyushenko,40,39,Hook,,Press,,114.0,128.0,-14.0,192.0,189.0,3.0,Russia,Poland,0,0,0,domestic,1,,,16.7,male,male,False,False,4,0,0,0,0.667,0.5,0.429,0.5,0,0,0,0,0,0,0,0
East vs West X,EvW,"November 11, 2023",Davit Samushia,Abdulmanaf Tuzuyev,Davit Samushia,33,26,Press,Hook,Toproll,,85.0,81.0,4.0,178.0,180.0,-2.0,Georgia,Kazakhstan,0,0,0,domestic,1,82.4,,54.5,male,male,False,False,4,0,0,0,0.833,0.5,0.0,0.5,0,0,0,0,0,0,0,0
East vs West X,EvW,"November 11, 2023",Irakli Zirakashvili,Rustam Babayev,Irakli Zirakashvili,27,43,Toproll,Press,Hook,,95.0,95.0,0.0,190.0,172.0,18.0,Georgia,Ukraine,0,0,0,domestic,1,58.5,,59.6,male,male,False,False,0,0,4,0,0.667,0.5,0.4,0.5,0,0,0,0,0,0,0,0
East vs West X,EvW,"November 11, 2023",Egle Vaitkute,Sarah Backman,Egle Vaitkute,40,33,Toproll,Hook,Hook,Toproll,80.0,80.0,0.0,180.0,174.0,6.0,Lithuania,United States Of America,0,0,0,domestic,1,53.4,39.7,59.6,female,male,False,False,1,0,4,0,0.5,0.333,0.667,0.0,0,0,0,0,0,0,0,0
East vs West X,EvW,"November 11, 2023",Georgi Tsvetkov,Zaur Paizulaev,Georgi Tsvetkov,36,43,Toproll,Side,Toproll,Hook,165.0,167.0,-2.0,190.0,188.0,2.0,Bulgaria,Russia,0,0,0,domestic,1,53.3,53.4,,male,male,False,False,5,0,0,0,0.5,0.5,0.0,0.5,0,0,0,0,0,0,0,0
East vs West X,EvW,"November 11, 2023",Todd Hutchings,Kydyrgali Ongarbaev,Todd Hutchings,58,30,Side,Press,Toproll,Hook,98.0,105.0,-7.0,180.0,186.0,-6.0,United States Of America,Kazakhstan,0,0,0,domestic,1,58.3,53.4,42.9,male,male,False,False,2,0,3,0,0.75,0.5,0.6,0.0,0,0,0,0,0,2,1,1
East vs West X,EvW,"November 11, 2023",Sasho Andreev,John Brzenk,Sasho Andreev,28,60,Hook,,Hook,Toproll,88.0,104.0,-16.0,169.0,181.0,-12.0,Bulgaria,United States Of America,0,0,0,domestic,1,,39.7,,male,male,False,False,4,0,6,0,0.4,0.5,0.4,0.0,0,0,0,0,0,0,0,0
East vs West X,EvW,"November 11, 2023",Devon Larratt,Denis Cyplenkov,Devon Larratt,50,43,Toproll,King's Move,King's Move,Hook,120.0,130.0,-10.0,196.0,186.0,10.0,Canada,Russia,1,0,-1,transatlantic,1,80.0,16.7,100.0,male,male,False,False,6,1,4,0,0.5,0.8,1.0,0.0,0,0,0,0,0,0,0,0
East vs West 9,EvW,"August 26, 2023",Thomas Manghi,Dustin Hyatt,Thomas Manghi,,28,Toproll,Hook,Toproll,,,102.0,,,185.0,,Italy,USA,0,0,0,domestic,1,53.4,,,male,male,False,False,1,0,0,0,1.0,0.5,0.0,0.5,0,0,0,0,0,0,0,0
East vs West 9,EvW,"August 26, 2023",Brad Grundy,Kyle Hutchison,Brad Grundy,27,,Unknown,,Hook,Toproll,114.0,,,183.0,,,United States Of America,United Kingdom,0,0,0,domestic,1,,39.7,,male,male,False,False,0,0,0,0,0.5,0.5,0.0,0.5,0,0,0,0,0,0,0,0
East vs West 9,EvW,"August 26, 2023",Derek Smith,Mehdi Abvolvand,Derek Smith,39,,Hook,Toproll,Hook,Press,133.0,,,203.0,,,United States Of America,Iran (Islamic Republic of),0,0,0,domestic,1,39.7,37.2,,male,male,False,False,1,0,0,0,0.333,0.0,0.0,0.5,0,0,0,0,0,0,0,0
East vs West 9,EvW,"August 26, 2023",Evgeny Prudnik,David Dadikyan,Evgeny Prudnik,37,26,Hook,Toproll,Hook,,115.0,115.0,0.0,185.0,185.0,0.0,Ukraine,Armenia,0,0,0,domestic,1,39.7,,,male,male,False,False,1,0,0,0,0.5,0.5,0.75,0.5,0,0,0,0,0,0,0,0
East vs West 9,EvW,"August 26, 2023",Adam Wawrzynski,Artur Makarov,Adam Wawrzynski,28,31,Toproll,Hook,Hook,Toproll,93.0,77.0,16.0,183.0,174.0,9.0,United States Of America,Russia,0,0,0,domestic,1,53.4,39.7,59.6,male,male,False,False,0,0,0,0,0.5,0.5,0.75,0.5,0,0,0,0,0,0,0,0
